student_id,programme_id,academic_year,year_level,is_first_year_entrant,enrol_status,credits_attempted,credits_earned
S00001,P09,2025,1,True,Enrolled,50,42
S00002,P11,2023,1,True,Enrolled,60,47
S00002,P11,2024,2,False,Enrolled,50,39
S00003,P06,2022,1,True,Enrolled,60,49
S00004,P04,2024,1,True,Enrolled,60,42
S00004,P04,2025,2,False,Enrolled,60,46
S00005,P05,2023,1,True,Enrolled,50,36
S00005,P05,2024,2,False,Enrolled,60,42
S00005,P05,2025,3,False,Enrolled,60,48
S00006,P08,2024,1,True,Enrolled,60,47
S00006,P08,2025,2,False,Enrolled,50,37
S00007,P07,2021,1,True,Enrolled,50,40
S00007,P04,2022,2,False,Enrolled,50,38
S00007,P04,2023,3,False,Enrolled,60,55
S00007,P04,2024,4,False,Enrolled,50,42
S00008,P06,2024,1,True,Enrolled,50,37
S00009,P03,2023,1,True,Enrolled,50,43
S00010,P11,2022,1,True,Enrolled,60,48
S00010,P11,2023,2,False,Enrolled,50,40
S00010,P11,2024,3,False,Enrolled,60,55
S00010,P11,2025,4,False,Enrolled,60,50
S00011,P10,2025,1,True,Enrolled,60,60
S00012,P02,2023,1,True,Enrolled,50,50
S00012,P05,2024,2,False,Enrolled,60,57
S00012,P05,2025,3,False,Enrolled,60,47
S00013,P05,2024,1,True,Enrolled,60,57
S00014,P07,2024,1,True,Enrolled,50,43
S00014,P07,2025,2,False,Enrolled,60,56
S00015,P06,2021,1,True,Enrolled,50,44
S00016,P05,2024,1,True,Enrolled,60,46
S00017,P09,2022,1,True,Enrolled,50,43
S00017,P09,2023,2,False,Enrolled,60,51
S00017,P09,2024,3,False,Enrolled,60,47
S00017,P09,2025,4,False,Enrolled,60,43
S00018,P01,2025,1,True,Enrolled,60,54
S00019,P06,2024,1,True,Enrolled,60,41
S00019,P06,2025,2,False,Enrolled,60,50
S00020,P04,2022,1,True,Enrolled,50,44
S00020,P04,2023,2,False,Enrolled,50,50
S00020,P04,2024,3,False,Enrolled,50,41
S00020,P04,2025,4,False,Enrolled,60,54
S00021,P02,2022,1,True,Enrolled,60,56
S00021,P12,2023,2,False,Enrolled,60,44
S00021,P12,2024,3,False,Enrolled,60,54
S00021,P12,2025,4,False,Enrolled,60,44
S00022,P06,2024,1,True,Enrolled,50,46
S00022,P06,2025,2,False,Enrolled,50,42
S00023,P03,2023,1,True,Enrolled,60,53
S00023,P01,2024,2,False,Enrolled,50,38
S00023,P01,2025,3,False,Enrolled,60,49
S00024,P04,2024,1,True,Enrolled,50,41
S00025,P06,2021,1,True,Enrolled,60,44
S00025,P05,2022,2,False,Enrolled,50,44
S00025,P05,2023,3,False,Enrolled,60,44
S00025,P05,2024,4,False,Enrolled,50,39
S00025,P05,2025,4,False,Enrolled,60,55
S00026,P12,2025,1,True,Enrolled,60,52
S00027,P08,2022,1,True,Enrolled,60,41
S00027,P10,2023,2,False,Enrolled,50,50
S00027,P10,2024,3,False,Enrolled,60,56
S00027,P10,2025,4,False,Enrolled,60,56
S00028,P04,2024,1,True,Enrolled,50,47
S00029,P05,2021,1,True,Enrolled,60,54
S00029,P05,2022,2,False,Enrolled,50,40
S00029,P05,2023,3,False,Enrolled,60,58
S00030,P05,2022,1,True,Enrolled,60,44
S00030,P05,2023,2,False,Enrolled,60,45
S00030,P04,2024,3,False,Enrolled,50,42
S00030,P04,2025,4,False,Enrolled,60,55
S00031,P02,2024,1,True,Enrolled,60,48
S00031,P07,2025,2,False,Enrolled,60,48
S00032,P02,2022,1,True,Enrolled,60,60
S00033,P02,2025,1,True,Enrolled,60,51
S00034,P06,2024,1,True,Enrolled,50,44
S00034,P06,2025,2,False,Enrolled,50,48
S00035,P08,2025,1,True,Enrolled,60,54
S00036,P07,2023,1,True,Enrolled,60,46
S00036,P07,2024,2,False,Enrolled,50,38
S00036,P07,2025,3,False,Enrolled,50,42
S00037,P12,2021,1,True,Enrolled,60,53
S00037,P12,2022,2,False,Enrolled,60,60
S00037,P12,2023,3,False,Enrolled,60,54
S00037,P12,2024,4,False,Enrolled,60,60
S00037,P12,2025,4,False,Enrolled,50,46
S00038,P02,2024,1,True,Enrolled,60,57
S00038,P08,2025,2,False,Enrolled,60,42
S00039,P12,2022,1,True,Enrolled,60,60
S00039,P12,2023,2,False,Enrolled,60,48
S00039,P12,2024,3,False,Enrolled,60,56
S00039,P12,2025,4,False,Enrolled,60,44
S00040,P06,2023,1,True,Enrolled,60,58
S00040,P06,2024,2,False,Enrolled,50,37
S00040,P06,2025,3,False,Enrolled,50,39
S00041,P03,2024,1,True,Enrolled,60,49
S00041,P05,2025,2,False,Enrolled,60,49
S00042,P12,2024,1,True,Enrolled,50,41
S00042,P12,2025,2,False,Enrolled,60,53
S00043,P06,2021,1,True,Enrolled,60,46
S00043,P06,2022,2,False,Enrolled,60,52
S00043,P08,2023,3,False,Enrolled,60,58
S00043,P08,2024,4,False,Enrolled,60,47
S00044,P05,2024,1,True,Enrolled,60,46
S00044,P07,2025,2,False,Enrolled,60,50
S00045,P03,2023,1,True,Enrolled,50,33
S00045,P03,2024,2,False,Enrolled,50,34
S00046,P04,2023,1,True,Enrolled,60,56
S00046,P04,2024,2,False,Enrolled,50,44
S00046,P04,2025,3,False,Enrolled,50,46
S00047,P12,2022,1,True,Enrolled,60,53
S00047,P12,2023,2,False,Enrolled,60,44
S00047,P12,2024,3,False,Enrolled,60,58
S00047,P12,2025,4,False,Enrolled,60,51
S00048,P04,2023,1,True,Enrolled,60,51
S00048,P04,2024,2,False,Enrolled,50,42
S00048,P04,2025,3,False,Enrolled,60,53
S00049,P12,2024,1,True,Enrolled,50,48
S00049,P12,2025,2,False,Enrolled,60,42
S00050,P05,2024,1,True,Enrolled,50,45
S00050,P01,2025,2,False,Enrolled,60,46
S00051,P03,2023,1,True,Enrolled,60,49
S00052,P03,2024,1,True,Enrolled,50,35
S00052,P05,2025,2,False,Enrolled,60,44
S00053,P05,2022,1,True,Enrolled,60,52
S00053,P05,2023,2,False,Enrolled,60,53
S00053,P05,2024,3,False,Enrolled,50,39
S00053,P05,2025,4,False,Enrolled,60,54
S00054,P04,2025,1,True,Enrolled,60,49
S00055,P08,2024,1,True,Enrolled,50,42
S00056,P04,2024,1,True,Enrolled,60,49
S00056,P04,2025,2,False,Enrolled,60,47
S00057,P10,2023,1,True,Enrolled,60,40
S00057,P10,2024,2,False,Enrolled,60,53
S00057,P07,2025,3,False,Enrolled,50,43
S00058,P10,2022,1,True,Enrolled,60,45
S00059,P04,2023,1,True,Enrolled,60,44
S00059,P04,2024,2,False,Enrolled,60,50
S00059,P04,2025,3,False,Enrolled,60,49
S00060,P09,2023,1,True,Enrolled,50,47
S00060,P09,2024,2,False,Enrolled,50,46
S00060,P09,2025,3,False,Enrolled,50,40
S00061,P11,2022,1,True,Enrolled,60,54
S00061,P08,2023,2,False,Enrolled,60,46
S00061,P08,2024,3,False,Enrolled,50,47
S00061,P08,2025,4,False,Enrolled,60,52
S00062,P07,2022,1,True,Enrolled,60,60
S00062,P11,2023,2,False,Enrolled,50,40
S00062,P11,2024,3,False,Enrolled,50,47
S00062,P11,2025,4,False,Enrolled,60,57
S00063,P05,2024,1,True,Enrolled,50,37
S00063,P05,2025,2,False,Enrolled,60,41
S00064,P06,2021,1,True,Enrolled,60,54
S00065,P10,2025,1,True,Enrolled,60,50
S00066,P04,2021,1,True,Enrolled,60,53
S00066,P04,2022,2,False,Enrolled,60,51
S00066,P04,2023,3,False,Enrolled,60,60
S00066,P07,2024,4,False,Enrolled,50,45
S00066,P07,2025,4,False,Enrolled,50,46
S00067,P05,2025,1,True,Enrolled,50,42
S00068,P02,2025,1,True,Enrolled,60,48
S00069,P05,2023,1,True,Enrolled,60,53
S00069,P05,2024,2,False,Enrolled,60,55
S00069,P05,2025,3,False,Enrolled,50,40
S00070,P02,2025,1,True,Enrolled,60,54
S00071,P05,2025,1,True,Enrolled,60,58
S00072,P05,2021,1,True,Enrolled,60,46
S00072,P05,2022,2,False,Enrolled,50,42
S00072,P05,2023,3,False,Enrolled,60,54
S00073,P04,2025,1,True,Enrolled,60,50
S00074,P02,2021,1,True,Enrolled,50,45
S00074,P02,2022,2,False,Enrolled,60,52
S00075,P06,2022,1,True,Enrolled,50,43
S00075,P06,2023,2,False,Enrolled,60,51
S00075,P06,2024,3,False,Enrolled,60,48
S00075,P06,2025,4,False,Enrolled,50,37
S00076,P11,2024,1,True,Enrolled,60,47
S00076,P11,2025,2,False,Enrolled,50,44
S00077,P05,2021,1,True,Enrolled,60,50
S00077,P05,2022,2,False,Enrolled,60,52
S00077,P05,2023,3,False,Enrolled,60,48
S00077,P05,2024,4,False,Enrolled,60,55
S00077,P05,2025,4,False,Enrolled,50,50
S00078,P04,2021,1,True,Enrolled,50,47
S00078,P04,2022,2,False,Enrolled,50,44
S00078,P04,2023,3,False,Enrolled,60,56
S00078,P04,2024,4,False,Enrolled,60,59
S00078,P04,2025,4,False,Enrolled,60,58
S00079,P04,2025,1,True,Enrolled,60,52
S00080,P11,2025,1,True,Enrolled,60,55
S00081,P07,2025,1,True,Enrolled,60,58
S00082,P02,2023,1,True,Enrolled,50,41
S00082,P02,2024,2,False,Enrolled,60,57
S00082,P02,2025,3,False,Enrolled,60,54
S00083,P08,2025,1,True,Enrolled,50,40
S00084,P02,2021,1,True,Enrolled,60,44
S00084,P02,2022,2,False,Enrolled,50,43
S00084,P02,2023,3,False,Enrolled,60,44
S00084,P02,2024,4,False,Enrolled,50,43
S00084,P02,2025,4,False,Enrolled,60,47
S00085,P01,2025,1,True,Enrolled,50,48
S00086,P04,2022,1,True,Enrolled,60,45
S00086,P04,2023,2,False,Enrolled,50,49
S00086,P06,2024,3,False,Enrolled,60,52
S00086,P06,2025,4,False,Enrolled,60,44
S00087,P03,2025,1,True,Enrolled,60,54
S00088,P07,2024,1,True,Enrolled,50,33
S00088,P07,2025,2,False,Enrolled,50,41
S00089,P06,2025,1,True,Enrolled,50,40
S00090,P09,2025,1,True,Enrolled,50,50
S00091,P06,2025,1,True,Enrolled,50,42
S00092,P05,2024,1,True,Enrolled,50,35
S00092,P05,2025,2,False,Enrolled,60,50
S00093,P07,2025,1,True,Enrolled,60,43
S00094,P06,2024,1,True,Enrolled,50,48
S00095,P01,2021,1,True,Enrolled,50,40
S00095,P01,2022,2,False,Enrolled,60,45
S00095,P01,2023,3,False,Enrolled,60,49
S00095,P01,2024,4,False,Enrolled,60,50
S00096,P08,2024,1,True,Enrolled,60,54
S00097,P12,2021,1,True,Enrolled,60,42
S00097,P12,2022,2,False,Enrolled,50,47
S00097,P12,2023,3,False,Enrolled,60,43
S00097,P12,2024,4,False,Enrolled,60,56
S00097,P12,2025,4,False,Enrolled,60,48
S00098,P05,2025,1,True,Enrolled,60,45
S00099,P05,2021,1,True,Enrolled,50,44
S00099,P05,2022,2,False,Enrolled,50,45
S00099,P05,2023,3,False,Enrolled,50,49
S00099,P05,2024,4,False,Enrolled,60,59
S00099,P05,2025,4,False,Enrolled,60,55
S00100,P01,2025,1,True,Enrolled,60,55
S00101,P11,2023,1,True,Enrolled,50,42
S00101,P11,2024,2,False,Enrolled,60,50
S00101,P11,2025,3,False,Enrolled,60,55
S00102,P12,2021,1,True,Enrolled,60,55
S00102,P12,2022,2,False,Enrolled,60,49
S00103,P10,2025,1,True,Enrolled,50,48
S00104,P02,2021,1,True,Enrolled,50,47
S00104,P02,2022,2,False,Enrolled,60,44
S00104,P02,2023,3,False,Enrolled,60,47
S00105,P11,2023,1,True,Enrolled,50,40
S00105,P11,2024,2,False,Enrolled,50,41
S00105,P11,2025,3,False,Enrolled,60,46
S00106,P01,2024,1,True,Enrolled,50,42
S00106,P01,2025,2,False,Enrolled,50,43
S00107,P06,2022,1,True,Enrolled,50,49
S00107,P06,2023,2,False,Enrolled,60,56
S00107,P06,2024,3,False,Enrolled,60,60
S00107,P06,2025,4,False,Enrolled,60,46
S00108,P06,2023,1,True,Enrolled,50,39
S00108,P06,2024,2,False,Enrolled,50,39
S00108,P04,2025,3,False,Enrolled,50,39
S00109,P10,2024,1,True,Enrolled,60,52
S00109,P10,2025,2,False,Enrolled,50,43
S00110,P09,2025,1,True,Enrolled,50,44
S00111,P10,2021,1,True,Enrolled,50,45
S00111,P10,2022,2,False,Enrolled,60,52
S00111,P10,2023,3,False,Enrolled,60,48
S00111,P10,2024,4,False,Enrolled,60,55
S00111,P10,2025,4,False,Enrolled,60,44
S00112,P11,2021,1,True,Enrolled,60,50
S00113,P06,2023,1,True,Enrolled,60,49
S00113,P06,2024,2,False,Enrolled,50,35
S00113,P06,2025,3,False,Enrolled,60,48
S00114,P10,2023,1,True,Enrolled,60,47
S00114,P10,2024,2,False,Enrolled,60,53
S00114,P10,2025,3,False,Enrolled,50,37
S00115,P01,2023,1,True,Enrolled,60,49
S00115,P08,2024,2,False,Enrolled,60,38
S00116,P06,2022,1,True,Enrolled,60,53
S00116,P06,2023,2,False,Enrolled,50,38
S00116,P06,2024,3,False,Enrolled,50,43
S00116,P06,2025,4,False,Enrolled,60,55
S00117,P01,2023,1,True,Enrolled,60,49
S00117,P01,2024,2,False,Enrolled,60,43
S00117,P01,2025,3,False,Enrolled,60,48
S00118,P11,2025,1,True,Enrolled,60,52
S00119,P12,2021,1,True,Enrolled,60,42
S00120,P02,2022,1,True,Enrolled,50,38
S00121,P07,2024,1,True,Enrolled,60,46
S00121,P07,2025,2,False,Enrolled,50,47
S00122,P05,2021,1,True,Enrolled,60,53
S00122,P11,2022,2,False,Enrolled,50,34
S00122,P03,2023,3,False,Enrolled,60,49
S00122,P03,2024,4,False,Enrolled,50,40
S00122,P03,2025,4,False,Enrolled,50,36
S00123,P05,2024,1,True,Enrolled,60,60
S00123,P05,2025,2,False,Enrolled,50,42
S00124,P06,2022,1,True,Enrolled,50,43
S00124,P06,2023,2,False,Enrolled,60,43
