student_id,gender,age_band,ses_band,region_band,entry_score_band,international_flag
S00001,Female,<=20,Medium,Local,Medium,False
S00002,Male,<=20,Low,Local,Low,False
S00003,Male,<=20,Medium,International,Low,True
S00004,Male,21-25,Medium,Local,Low,False
S00005,Female,<=20,Medium,Local,Low,False
S00006,Female,26-34,Medium,Regional,Low,False
S00007,Female,<=20,High,Regional,Medium,False
S00008,Male,21-25,Low,Local,Medium,False
S00009,Male,21-25,Medium,Regional,Medium,False
S00010,Male,21-25,Low,Local,Medium,False
S00011,Female,26-34,Medium,Local,High,False
S00012,Male,21-25,Low,Regional,Medium,False
S00013,Male,26-34,Low,International,Medium,True
S00014,Female,<=20,Medium,Regional,High,False
S00015,Female,<=20,Medium,Local,Low,False
S00016,Female,<=20,High,Regional,Medium,False
S00017,Female,<=20,Medium,Local,Medium,False
S00018,Male,<=20,High,Local,Medium,False
S00019,Female,<=20,Medium,Regional,Low,False
S00020,Female,<=20,Low,Local,High,False
S00021,Male,<=20,Medium,International,Low,True
S00022,Female,<=20,Medium,Local,High,False
S00023,Female,26-34,Medium,Local,Medium,False
S00024,Female,<=20,Medium,Regional,Medium,False
S00025,Female,21-25,Medium,Regional,Low,False
S00026,Male,<=20,Medium,Local,Medium,False
S00027,Female,26-34,Low,Local,Medium,False
S00028,Male,26-34,Low,Regional,Medium,False
S00029,Male,21-25,Low,Local,High,False
S00030,Female,21-25,Low,Local,Medium,False
S00031,Male,<=20,Medium,Local,Medium,False
S00032,Female,35+,Low,Local,High,False
S00033,Female,26-34,Medium,International,Low,True
S00034,Male,26-34,Medium,Local,Medium,False
S00035,Male,21-25,Low,International,Medium,True
S00036,Male,<=20,High,Local,Medium,False
S00037,Female,26-34,Medium,International,High,True
S00038,Female,<=20,Low,Local,High,False
S00039,Male,21-25,High,Local,Medium,False
S00040,Female,<=20,Low,Local,Medium,False
S00041,Female,26-34,Low,Local,Medium,False
S00042,Male,<=20,Medium,Local,Medium,False
S00043,Female,<=20,Medium,Local,Medium,False
S00044,Male,21-25,Low,Local,Low,False
S00045,Female,21-25,Low,Local,Low,False
S00046,Male,21-25,High,Local,High,False
S00047,Female,<=20,Medium,Local,Medium,False
S00048,Male,<=20,Low,Regional,Medium,False
S00049,Male,21-25,Medium,Local,High,False
S00050,Female,35+,High,International,Medium,True
S00051,Male,21-25,Low,Local,Medium,False
S00052,Male,<=20,Medium,International,Low,True
S00053,Male,26-34,Medium,Local,High,False
S00054,Male,<=20,Medium,International,Low,True
S00055,Male,<=20,Medium,Local,Medium,False
S00056,Male,<=20,High,Regional,Medium,False
S00057,Female,<=20,Low,Regional,Medium,False
S00058,Female,21-25,Low,Local,Low,False
S00059,Female,<=20,High,Local,Medium,False
S00060,Female,<=20,Medium,Regional,Medium,False
S00061,Female,<=20,Medium,Local,Medium,False
S00062,Female,<=20,Medium,Local,Medium,False
S00063,Male,21-25,Medium,Regional,Low,False
S00064,Female,<=20,Medium,Local,Medium,False
S00065,Female,<=20,High,Regional,High,False
S00066,Male,21-25,Medium,Local,High,False
S00067,Female,21-25,Low,Local,Medium,False
S00068,Male,21-25,Medium,Local,Medium,False
S00069,Female,<=20,Medium,Local,Medium,False
S00070,Non-binary,26-34,Medium,International,High,True
S00071,Male,26-34,Medium,Local,High,False
S00072,Female,21-25,Low,Local,Medium,False
S00073,Female,21-25,Medium,Local,High,False
S00074,Male,<=20,Medium,Regional,High,False
S00075,Male,35+,Medium,Local,High,False
S00076,Male,<=20,Medium,Local,Medium,False
S00077,Male,<=20,Low,Local,High,False
S00078,Female,<=20,Medium,Local,High,False
S00079,Female,<=20,Medium,Local,Low,False
S00080,Female,35+,Medium,Local,High,False
S00081,Male,21-25,Medium,Regional,Medium,False
S00082,Male,21-25,Medium,International,Medium,True
